time	V(vcc)	V(vo)
6.813521055144783e-06	9.318317e+00	4.949010e+00
6.913521055144783e-06	9.313426e+00	4.950792e+00
7.013521055144783e-06	9.309271e+00	4.952556e+00
7.113521055144783e-06	9.305868e+00	4.954338e+00
7.213521055144783e-06	9.303231e+00	4.956171e+00
7.313521055144783e-06	9.301372e+00	4.958079e+00
7.413521055144783e-06	9.300295e+00	4.960072e+00
7.513521055144782e-06	9.300007e+00	4.962139e+00
7.613521055144782e-06	9.300508e+00	4.964254e+00
7.713521055144783e-06	9.301797e+00	4.966379e+00
7.813521055144784e-06	9.303868e+00	4.968477e+00
7.913521055144785e-06	9.306713e+00	4.970516e+00
8.013521055144785e-06	9.310321e+00	4.972481e+00
8.113521055144786e-06	9.314677e+00	4.974372e+00
8.213521055144787e-06	9.319764e+00	4.976202e+00
8.313521055144788e-06	9.325563e+00	4.977988e+00
8.413521055144788e-06	9.332051e+00	4.979742e+00
8.513521055144789e-06	9.339201e+00	4.981462e+00
8.613521055144790e-06	9.346986e+00	4.983140e+00
8.713521055144790e-06	9.355374e+00	4.984751e+00
8.813521055144791e-06	9.364334e+00	4.986274e+00
8.913521055144792e-06	9.373829e+00	4.987692e+00
9.013521055144793e-06	9.383821e+00	4.988997e+00
9.113521055144793e-06	9.394273e+00	4.990191e+00
9.213521055144794e-06	9.405142e+00	4.991282e+00
9.313521055144795e-06	9.416385e+00	4.992272e+00
9.413521055144796e-06	9.427958e+00	4.993163e+00
9.513521055144796e-06	9.439815e+00	4.993944e+00
9.613521055144797e-06	9.451909e+00	4.994606e+00
9.713521055144798e-06	9.464194e+00	4.995136e+00
9.813521055144799e-06	9.476620e+00	4.995530e+00
9.913521055144799e-06	9.489138e+00	4.995788e+00
1.001352105514480e-05	9.501699e+00	4.995914e+00
1.011352105514480e-05	9.514254e+00	4.995912e+00
1.021352105514480e-05	9.526752e+00	4.995783e+00
1.031352105514480e-05	9.539144e+00	4.995527e+00
1.041352105514480e-05	9.551382e+00	4.995140e+00
1.051352105514480e-05	9.563417e+00	4.994618e+00
1.061352105514480e-05	9.575202e+00	4.993963e+00
1.071352105514481e-05	9.586690e+00	4.993177e+00
1.081352105514481e-05	9.597836e+00	4.992268e+00
1.091352105514481e-05	9.608596e+00	4.991239e+00
1.101352105514481e-05	9.618927e+00	4.990095e+00
1.111352105514481e-05	9.628789e+00	4.988840e+00
1.121352105514481e-05	9.638143e+00	4.987476e+00
1.131352105514481e-05	9.646952e+00	4.986006e+00
1.141352105514481e-05	9.655180e+00	4.984435e+00
1.151352105514481e-05	9.662796e+00	4.982769e+00
